epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,7944.12,0.6744,0.53064,1.20668,0.73249,0.70101,0.75528,0.54615,1.09785,0.736,1.6912,0.0043768,0.0043768,0.0043768
144,7998.96,0.68322,0.5401,1.21275,0.73414,0.70167,0.75435,0.54624,1.09933,0.74333,1.69105,0.0043372,0.0043372,0.0043372
145,8053.32,0.67832,0.5354,1.20958,0.71619,0.7093,0.75309,0.54669,1.10566,0.75194,1.69892,0.0042976,0.0042976,0.0042976
146,8108.38,0.67408,0.52152,1.20701,0.7127,0.71946,0.75382,0.54646,1.10588,0.76545,1.70173,0.004258,0.004258,0.004258
147,8162.43,0.6772,0.52883,1.20447,0.71193,0.7258,0.75574,0.54768,1.10357,0.76917,1.69916,0.0042184,0.0042184,0.0042184
148,8216.81,0.67525,0.52284,1.20741,0.71992,0.72541,0.75855,0.54766,1.10788,0.76931,1.70877,0.0041788,0.0041788,0.0041788
149,8271.25,0.67341,0.52746,1.2024,0.71579,0.72316,0.75705,0.54643,1.11006,0.75906,1.71561,0.0041392,0.0041392,0.0041392
150,8325.46,0.66906,0.51827,1.20057,0.71509,0.72173,0.7564,0.54527,1.10725,0.76386,1.71027,0.0040996,0.0040996,0.0040996
151,8379.99,0.66811,0.52069,1.19991,0.72036,0.71299,0.75363,0.54356,1.10719,0.76571,1.71258,0.00406,0.00406,0.00406
152,8434.44,0.6664,0.51191,1.20167,0.72258,0.71186,0.75352,0.54566,1.10824,0.77314,1.71445,0.0040204,0.0040204,0.0040204
153,8488.98,0.66596,0.5172,1.19832,0.69947,0.73663,0.75459,0.5462,1.1076,0.7787,1.71626,0.0039808,0.0039808,0.0039808
154,8543.62,0.66846,0.5147,1.20408,0.7227,0.71272,0.75206,0.54714,1.11327,0.77621,1.72752,0.0039412,0.0039412,0.0039412
155,8597.81,0.65987,0.51468,1.20033,0.71583,0.71523,0.75138,0.54755,1.11931,0.76957,1.73738,0.0039016,0.0039016,0.0039016
